timestamp,B_to_P1,P1_to_B,C_to_B,B_to_C,recorder1_9m_b,recorder2_9m_b,recorder3_9m_b,recorder1_9m_p1,recorder2_9m_p1,recorder1_9m_c,recorder2_9m_c
2024-02-15 11:47:20,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2024-02-15 11:47:30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2024-02-15 11:47:40,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0
2024-02-15 11:47:50,1.0,0.0,0.0,0.0,4.0,15.0,7.0,0.0,0.0,0.0,0.0
2024-02-15 11:48:00,0.0,0.0,0.0,1.0,9.0,15.0,9.0,0.0,0.0,0.0,0.0
2024-02-15 11:48:10,0.0,0.0,1.0,1.0,9.0,32.0,18.0,0.0,0.0,0.0,0.0
2024-02-15 11:48:20,0.0,0.0,0.0,0.0,4.0,22.0,24.0,0.0,0.0,0.0,0.0
2024-02-15 11:48:30,0.0,0.0,0.0,1.0,1.0,5.0,19.0,0.0,0.0,0.0,0.0
2024-02-15 11:48:40,0.0,1.0,0.0,0.0,9.0,10.0,11.0,0.0,0.0,0.0,0.0
2024-02-15 11:48:50,0.0,0.0,1.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0
2024-02-15 11:49:00,0.0,0.0,0.0,0.0,4.0,1.0,17.0,0.0,0.0,0.0,0.0
2024-02-15 11:49:10,0.0,0.0,0.0,0.0,13.0,15.0,15.0,0.0,0.0,0.0,0.0
2024-02-15 11:49:20,1.0,1.0,1.0,1.0,21.0,26.0,20.0,0.0,0.0,0.0,0.0
2024-02-15 11:49:30,0.0,0.0,1.0,0.0,35.0,31.0,32.0,0.0,0.0,0.0,0.0
2024-02-15 11:49:40,0.0,2.0,0.0,1.0,24.0,28.0,22.0,0.0,0.0,0.0,0.0
2024-02-15 11:49:50,0.0,0.0,0.0,0.0,20.0,26.0,23.0,0.0,0.0,0.0,0.0
2024-02-15 11:50:00,0.0,0.0,1.0,2.0,10.0,22.0,15.0,0.0,0.0,0.0,0.0
2024-02-15 11:50:10,0.0,0.0,1.0,1.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0
2024-02-15 11:50:20,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
2024-02-15 11:50:30,0.0,0.0,2.0,0.0,9.0,20.0,25.0,0.0,0.0,0.0,0.0
2024-02-15 11:50:40,0.0,0.0,0.0,1.0,11.0,12.0,35.0,0.0,0.0,0.0,0.0
